Model, Dataset, Locations, Z-value, time, assignments, Stage_2
"sam_global(0)", Dataset0, "[13, 16]", 14949.490593327922, 0.01 seconds, "{13: [0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 19], 16: [5, 6, 7, 8, 9, 15, 16, 17, 18]}", "(685.3934249264547, {'Route_1': [0, 13, 16, 0]})"
"sam_global(1)", Dataset1, "[13, 53, 83, 75, 27, 50, 78, 65, 49, 68]", 28636.59546803705, 2.19 seconds, "{13: [0, 2, 4, 8, 13, 18, 19, 22, 23, 24, 25, 28, 39, 40, 71, 73, 84, 93], 27: [6, 7, 9, 14, 16, 17, 26, 52, 72, 95], 49: [20, 42, 43, 45, 46, 48, 49, 51, 58, 59, 66, 70, 92], 50: [10, 50, 65], 53: [1, 32, 33, 41, 53, 54, 60, 63, 74, 76, 98], 65: [15, 21, 31, 61, 62, 67], 68: [30, 34, 44, 47, 55, 56, 68, 69, 87], 75: [5, 12, 35, 36, 37, 75, 77, 80, 81, 85, 88, 90], 78: [11, 27, 29, 38, 57, 64, 78, 79, 82, 83, 89, 91, 96, 97, 99], 83: [3, 86, 94]}", "(4672.784882079155, {'Route_1': [0, 65, 68, 49, 53, 13, 78, 83, 50, 75, 27, 0]})"
"sam_global(2)", Dataset2, "[67, 81, 71, 35, 37, 64, 92, 56, 33, 77, 52, 3, 66, 25, 16]", 34145.919873390434 , 224.72 seconds, "{3: [19, 28, 41, 55, 69], 16: [47, 65, 68, 85, 93], 25: [36, 44, 46, 61, 62, 76, 80], 33: [15, 29, 59, 67, 91, 97], 35: [4, 5, 17, 39, 87], 37: [6, 21, 35, 37], 52: [18, 30, 48, 52, 57, 66, 83, 84, 98], 56: [12, 22, 31, 32, 40, 56, 75, 79], 64: [8, 10, 43, 64, 82], 66: [26, 34, 60, 74, 81, 90, 99], 67: [0, 7, 53, 54, 73, 88], 71: [2, 3, 24, 25, 42, 71, 72, 92, 95], 77: [16, 20, 23, 33, 45, 49, 70], 81: [1, 9, 13, 38, 50, 51, 58, 94, 96], 92: [11, 14, 27, 63, 77, 78, 86, 89]}", "(11794.738886819596, {'Route_1': [0, 67, 52, 66, 35, 81, 37, 64, 25, 71, 33, 92, 3, 16, 56, 77, 0]})"
"sam_global(3)", Dataset3, "[22, 1, 43, 61, 7, 24, 18, 32, 12, 65, 42, 50, 52, 40, 95, 41, 71]", 36310.2808581812, 7.47 seconds, "{1: [1, 8, 28, 37, 62], 7: [7, 23, 46, 60], 12: [12, 38, 39, 40, 55, 74, 78, 83, 86, 92], 18: [10, 16, 18, 22, 45, 65, 69, 91], 22: [0, 2, 3, 5, 58], 24: [9, 15, 24, 43, 93], 32: [11, 32, 70, 81, 82, 96, 97], 40: [31, 72, 75, 87, 98], 41: [48, 57, 77, 95], 42: [19, 27, 29, 42, 47, 94], 43: [4, 17, 30, 34, 59, 99], 50: [20, 33, 50, 54, 63, 66, 80], 52: [21, 26, 36, 52, 53, 56, 61, 64, 68], 61: [6, 13, 35, 88, 89], 65: [14, 25, 44, 73], 71: [49, 51, 71, 85], 95: [41, 67, 76, 79, 84, 90]}", "(12857.248327946825, {'Route_1': [0, 7, 42, 1, 95, 24, 18, 61, 41, 22, 32, 43, 52, 40, 65, 50, 71, 12, 0]})"
"sam_global(4)", Dataset4, "[13, 165, 53, 14, 61, 68, 144, 47, 90, 99, 41, 50, 123, 155, 19]", 25059.71119147226, 19.95 seconds, "{13: [0, 3, 10, 12, 13, 22, 24, 27, 32, 35, 39, 40, 93, 98, 173, 185], 14: [6, 7, 8, 14, 16, 26, 33, 36, 37, 159], 19: [103, 157, 186, 187, 192], 41: [42, 43, 44], 47: [20, 46, 48, 70], 50: [50, 51, 66, 76, 134, 169, 171, 176, 198], 53: [2, 15, 23, 31, 52, 53, 54, 57, 63, 64, 65, 67, 84, 87, 92, 120, 128, 168, 170, 172, 174, 177, 178, 179, 188, 190], 61: [9, 56, 59, 60, 61, 62, 71, 175, 181, 182, 183, 184, 191, 194, 196], 68: [11, 18, 45, 55, 68, 69, 189, 199], 90: [29, 34, 41, 47, 58, 72, 73, 74, 75, 79, 80, 81, 82, 83, 85, 86, 90, 140, 180, 193, 195, 197], 99: [38, 77, 78, 88, 97, 99, 101, 104, 106, 107, 108, 119, 121, 125, 156], 123: [89, 91, 94, 105, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 122, 123, 124, 126, 127, 129], 144: [17, 95, 130, 131, 135, 139, 141, 144, 148, 158], 155: [96, 100, 102, 146, 152, 153, 155, 160, 161], 165: [1, 4, 5, 19, 21, 25, 28, 30, 49, 132, 133, 136, 137, 138, 142, 143, 145, 147, 149, 150, 151, 154, 162, 163, 164, 165, 166, 167]}", "(7443.301076505608, {'Route_1': [0, 13, 90, 14, 61, 47, 68, 144, 53, 99, 50, 41, 155, 19, 123, 165, 0]})"
